time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,wind_speed_10m_max,wind_direction_10m_dominant
2025-07-01,15.1,11.9,14.0,11.6,153
2025-07-02,12.5,10.7,11.4,12.0,146
2025-07-03,14.3,10.6,11.8,11.1,155
2025-07-04,18.5,11.8,13.7,11.2,141
2025-07-05,20.4,11.2,14.7,8.6,106
2025-07-06,19.3,10.1,13.7,12.7,167
2025-07-07,19.5,10.7,13.9,9.9,115
2025-07-08,22.3,11.5,15.8,11.8,303
2025-07-09,20.0,9.1,14.0,12.2,137
2025-07-10,21.4,11.7,15.1,12.0,106
2025-07-11,22.0,12.1,16.3,9.1,91
2025-07-12,22.9,13.6,17.6,13.1,94
2025-07-13,22.5,14.0,17.1,12.1,95
2025-07-14,21.8,11.6,15.9,11.0,123
2025-07-15,22.5,9.3,15.8,8.5,101
2025-07-16,22.9,10.9,16.7,9.2,93
2025-07-17,23.8,10.4,17.4,13.4,324
2025-07-18,24.0,14.4,18.6,20.2,301
2025-07-19,20.5,10.3,14.6,9.3,132
2025-07-20,21.2,9.2,14.0,9.4,106
2025-07-21,24.9,11.7,16.8,10.6,106
2025-07-22,25.3,13.3,18.5,13.7,278
2025-07-23,21.5,13.0,17.3,10.1,165
2025-07-24,22.1,12.5,15.8,13.8,124
2025-07-25,18.6,13.6,15.9,8.7,92
2025-07-26,23.8,12.4,17.0,8.3,79
2025-07-27,26.5,12.6,19.5,14.1,34
2025-07-28,23.3,17.7,20.6,30.4,325
2025-07-29,18.8,10.7,15.2,18.1,242
2025-07-30,16.4,7.6,11.6,9.9,125
2025-07-31,19.8,7.0,12.3,10.8,100
2025-08-01,23.7,9.2,15.2,11.1,84
2025-08-02,26.3,10.5,18.1,8.8,44
2025-08-03,25.3,12.1,18.9,14.8,351
2025-08-04,22.5,12.4,17.6,9.4,42
2025-08-05,20.0,13.4,15.9,11.7,155
2025-08-06,18.9,13.6,15.6,12.8,164
2025-08-07,25.3,12.7,17.3,10.0,114
2025-08-08,25.3,12.4,17.9,21.0,312
2025-08-09,18.3,11.6,14.9,15.4,249
2025-08-10,15.1,8.8,11.3,11.0,167
2025-08-11,17.2,7.3,11.2,13.0,145
2025-08-12,19.4,10.2,13.1,10.1,122
2025-08-13,24.9,9.7,16.0,10.3,13
2025-08-14,19.2,11.7,15.2,13.0,156
2025-08-15,20.7,10.7,14.7,14.4,125
2025-08-16,23.4,12.8,16.2,12.2,108
2025-08-17,25.5,13.6,17.8,8.9,121
2025-08-18,23.6,12.5,16.9,13.6,115
2025-08-19,26.8,12.5,18.0,13.9,68
2025-08-20,28.8,16.5,22.0,15.0,29
2025-08-21,29.8,18.4,23.3,12.3,314
2025-08-22,31.1,17.5,23.6,11.0,45
2025-08-23,31.2,19.2,25.1,16.0,346
2025-08-24,24.5,15.4,19.2,13.6,171
2025-08-25,28.3,14.6,18.3,13.3,134
2025-08-26,23.0,13.6,16.7,11.9,129
