time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2019-01-01,29.5,19.3,23.4,,2.7,15.9,98
2019-01-02,29.7,20.0,24.2,,6.8,18.3,353
2019-01-03,30.9,22.2,25.5,,8.4,18.8,333
2019-01-04,29.7,20.8,23.3,,30.7,19.9,317
2019-01-05,24.6,20.1,21.7,,18.9,19.8,308
2019-01-06,28.3,18.9,22.9,,3.7,16.5,7
2019-01-07,30.2,20.0,24.8,,0.1,22.9,356
2019-01-08,31.2,21.1,25.3,,3.5,11.5,336
2019-01-09,30.3,20.8,24.4,,0.1,18.7,123
2019-01-10,29.9,20.8,25.3,,0.2,15.5,6
2019-01-11,29.8,19.6,24.2,,1.8,13.8,134
2019-01-12,28.8,20.2,23.2,,1.2,19.5,132
2019-01-13,30.3,19.3,23.2,,6.3,11.9,105
2019-01-14,29.9,20.5,24.0,,6.6,11.6,72
2019-01-15,31.3,20.2,24.7,,3.7,16.6,335
2019-01-16,31.7,21.0,25.5,,1.5,14.0,332
2019-01-17,30.9,19.9,24.9,,0.5,14.5,54
2019-01-18,31.1,20.1,24.4,,3.9,15.2,103
2019-01-19,31.8,20.3,24.9,,3.9,16.3,338
2019-01-20,30.3,20.4,23.5,,18.1,19.3,132
2019-01-21,32.4,19.8,24.5,,5.4,15.3,357
2019-01-22,27.2,21.5,23.9,,3.2,15.5,118
2019-01-23,29.8,20.7,23.9,,2.8,17.0,101
2019-01-24,28.2,20.3,23.4,,10.9,16.6,124
2019-01-25,25.2,20.6,22.1,,10.9,17.3,125
2019-01-26,27.6,15.0,20.4,,3.2,14.8,69
2019-01-27,28.9,18.1,23.1,,0.8,15.1,47
2019-01-28,31.5,20.2,24.8,,0.0,17.6,83
2019-01-29,31.7,20.0,25.4,,0.0,14.5,118
2019-01-30,32.3,18.7,25.4,,0.0,15.5,128
2019-01-31,32.6,16.3,24.4,,0.0,18.5,143
2019-02-01,33.3,18.1,25.1,,0.0,18.8,107
2019-02-02,34.5,17.0,25.1,,0.0,20.4,134
2019-02-03,29.4,21.1,24.4,,3.2,19.4,155
2019-02-04,21.5,17.9,20.1,,46.3,24.5,163
2019-02-05,23.1,16.0,18.7,,3.4,21.0,123
2019-02-06,20.8,16.7,18.2,,34.0,15.8,130
2019-02-07,23.9,15.5,18.8,,0.6,18.2,122
2019-02-08,27.7,16.4,20.5,,0.0,16.3,137
2019-02-09,29.0,16.4,21.6,,0.0,19.6,110
2019-02-10,30.9,16.5,22.8,,0.2,18.6,62
2019-02-11,30.3,20.9,25.2,,0.3,20.4,346
2019-02-12,27.0,21.5,24.1,,3.7,18.6,308
2019-02-13,20.9,17.8,19.6,,6.0,21.4,144
2019-02-14,23.6,16.0,19.1,,0.5,19.6,116
2019-02-15,23.4,16.2,19.5,,25.3,16.1,15
2019-02-16,21.9,17.6,19.5,,62.5,16.4,210
2019-02-17,24.8,18.8,21.0,,6.6,16.6,265
2019-02-18,26.6,18.1,21.8,,1.8,17.6,338
2019-02-19,26.5,19.0,22.6,,1.3,26.0,331
2019-02-20,27.2,19.3,22.5,,11.3,13.6,322
2019-02-21,26.0,18.3,21.2,,13.7,13.0,89
2019-02-22,27.6,18.6,22.0,,6.6,10.3,30
2019-02-23,29.4,18.6,23.5,,0.5,21.5,323
2019-02-24,29.6,20.5,24.8,,0.3,21.1,321
2019-02-25,28.6,21.5,24.8,,0.4,16.6,317
2019-02-26,26.7,19.4,21.8,,9.3,17.4,315
2019-02-27,24.4,19.5,21.4,,11.2,17.5,306
2019-02-28,22.4,19.2,20.5,,19.9,14.8,314
2019-03-01,22.4,18.4,20.2,,13.7,13.8,180
2019-03-02,25.6,18.1,21.2,,6.9,17.6,345
2019-03-03,25.9,18.0,20.9,,13.9,13.5,76
2019-03-04,25.3,17.7,20.9,,17.0,13.7,63
2019-03-05,26.6,17.5,21.7,,3.2,9.1,39
2019-03-06,29.2,18.0,22.6,,3.4,12.0,67
2019-03-07,28.4,19.2,23.1,,5.8,15.6,357
2019-03-08,28.6,18.9,23.4,,0.0,15.8,334
2019-03-09,29.3,19.7,24.4,,2.1,7.0,31
2019-03-10,25.4,19.7,21.9,,10.3,24.0,188
2019-03-11,23.6,19.4,20.6,,8.2,20.6,144
2019-03-12,27.7,18.0,21.5,,4.9,12.5,108
2019-03-13,27.7,19.2,22.6,,4.8,19.4,321
2019-03-14,26.2,20.2,23.0,,3.8,17.9,304
2019-03-15,25.0,19.6,21.7,,4.1,13.5,267
2019-03-16,26.0,19.8,21.9,,5.3,18.9,125
2019-03-17,26.6,19.7,22.1,,14.8,13.6,111
2019-03-18,28.1,19.9,23.0,,2.6,19.1,301
2019-03-19,27.8,20.5,23.4,,5.2,20.9,288
2019-03-20,24.6,17.9,20.9,,4.7,18.3,143
2019-03-21,19.6,17.1,18.4,,10.4,21.9,145
2019-03-22,20.9,15.5,18.0,,0.9,21.2,109
2019-03-23,24.9,15.3,19.2,,0.4,17.3,103
2019-03-24,25.6,16.4,20.1,,0.6,14.8,126
2019-03-25,28.1,16.9,21.5,,0.0,14.3,99
2019-03-26,27.5,16.2,21.0,,0.3,20.1,124
2019-03-27,25.8,17.0,20.5,,1.7,17.3,121
2019-03-28,23.3,17.6,19.7,,14.0,20.0,130
2019-03-29,22.2,17.3,19.1,,0.7,22.5,116
2019-03-30,24.4,14.9,18.8,,0.2,19.2,118
2019-03-31,25.4,16.4,19.8,,0.0,17.1,114
2019-04-01,25.1,17.1,20.0,,0.2,20.8,118
2019-04-02,26.0,14.8,19.1,,0.0,16.9,121
2019-04-03,27.0,16.3,20.7,,0.0,9.8,117
2019-04-04,29.8,17.0,22.8,,0.0,11.0,39
2019-04-05,29.0,20.5,24.2,,0.3,21.9,331
2019-04-06,27.9,19.9,23.0,,15.1,13.4,139
2019-04-07,26.6,20.7,22.5,,13.4,13.7,0
2019-04-08,21.6,18.6,20.3,,17.1,18.2,273
2019-04-09,20.6,17.7,18.8,,10.3,28.3,159
