Data,dia,mes,ano,Temperatura_media,Temperatura_maxima,Temperatura_minima,Probabilidade_chuva_max,Velocidade_vento_max,Chuva_total,Direcao_vento,estado
2019-01-01,1,1,2019,23.4,29.5,19.3,,15.9,2.7,Leste,SP
2019-01-02,2,1,2019,24.2,29.7,20.0,,18.3,6.8,Norte,SP
2019-01-03,3,1,2019,25.5,30.9,22.2,,18.8,8.4,Noroeste,SP
2019-01-04,4,1,2019,23.3,29.7,20.8,,19.9,30.7,Noroeste,SP
2019-01-05,5,1,2019,21.7,24.6,20.1,,19.8,18.9,Noroeste,SP
2019-01-06,6,1,2019,22.9,28.3,18.9,,16.5,3.7,Norte,SP
2019-01-07,7,1,2019,24.8,30.2,20.0,,22.9,0.1,Norte,SP
2019-01-08,8,1,2019,25.3,31.2,21.1,,11.5,3.5,Noroeste,SP
2019-01-09,9,1,2019,24.4,30.3,20.8,,18.7,0.1,Sudeste,SP
2019-01-10,10,1,2019,25.3,29.9,20.8,,15.5,0.2,Norte,SP
2019-01-11,11,1,2019,24.2,29.8,19.6,,13.8,1.8,Sudeste,SP
2019-01-12,12,1,2019,23.2,28.8,20.2,,19.5,1.2,Sudeste,SP
2019-01-13,13,1,2019,23.2,30.3,19.3,,11.9,6.3,Leste,SP
2019-01-14,14,1,2019,24.0,29.9,20.5,,11.6,6.6,Leste,SP
2019-01-15,15,1,2019,24.7,31.3,20.2,,16.6,3.7,Noroeste,SP
2019-01-16,16,1,2019,25.5,31.7,21.0,,14.0,1.5,Noroeste,SP
2019-01-17,17,1,2019,24.9,30.9,19.9,,14.5,0.5,Nordeste,SP
2019-01-18,18,1,2019,24.4,31.1,20.1,,15.2,3.9,Leste,SP
2019-01-19,19,1,2019,24.9,31.8,20.3,,16.3,3.9,Norte,SP
2019-01-20,20,1,2019,23.5,30.3,20.4,,19.3,18.1,Sudeste,SP
2019-01-21,21,1,2019,24.5,32.4,19.8,,15.3,5.4,Norte,SP
2019-01-22,22,1,2019,23.9,27.2,21.5,,15.5,3.2,Sudeste,SP
2019-01-23,23,1,2019,23.9,29.8,20.7,,17.0,2.8,Leste,SP
2019-01-24,24,1,2019,23.4,28.2,20.3,,16.6,10.9,Sudeste,SP
2019-01-25,25,1,2019,22.1,25.2,20.6,,17.3,10.9,Sudeste,SP
2019-01-26,26,1,2019,20.4,27.6,15.0,,14.8,3.2,Leste,SP
2019-01-27,27,1,2019,23.1,28.9,18.1,,15.1,0.8,Nordeste,SP
2019-01-28,28,1,2019,24.8,31.5,20.2,,17.6,0.0,Leste,SP
2019-01-29,29,1,2019,25.4,31.7,20.0,,14.5,0.0,Sudeste,SP
2019-01-30,30,1,2019,25.4,32.3,18.7,,15.5,0.0,Sudeste,SP
2019-01-31,31,1,2019,24.4,32.6,16.3,,18.5,0.0,Sudeste,SP
2019-02-01,1,2,2019,25.1,33.3,18.1,,18.8,0.0,Leste,SP
2019-02-02,2,2,2019,25.1,34.5,17.0,,20.4,0.0,Sudeste,SP
2019-02-03,3,2,2019,24.4,29.4,21.1,,19.4,3.2,Sudeste,SP
2019-02-04,4,2,2019,20.1,21.5,17.9,,24.5,46.3,Sul,SP
2019-02-05,5,2,2019,18.7,23.1,16.0,,21.0,3.4,Sudeste,SP
2019-02-06,6,2,2019,18.2,20.8,16.7,,15.8,34.0,Sudeste,SP
2019-02-07,7,2,2019,18.8,23.9,15.5,,18.2,0.6,Sudeste,SP
2019-02-08,8,2,2019,20.5,27.7,16.4,,16.3,0.0,Sudeste,SP
2019-02-09,9,2,2019,21.6,29.0,16.4,,19.6,0.0,Leste,SP
2019-02-10,10,2,2019,22.8,30.9,16.5,,18.6,0.2,Nordeste,SP
2019-02-11,11,2,2019,25.2,30.3,20.9,,20.4,0.3,Norte,SP
2019-02-12,12,2,2019,24.1,27.0,21.5,,18.6,3.7,Noroeste,SP
2019-02-13,13,2,2019,19.6,20.9,17.8,,21.4,6.0,Sudeste,SP
2019-02-14,14,2,2019,19.1,23.6,16.0,,19.6,0.5,Sudeste,SP
2019-02-15,15,2,2019,19.5,23.4,16.2,,16.1,25.3,Norte,SP
2019-02-16,16,2,2019,19.5,21.9,17.6,,16.4,62.5,Sudoeste,SP
2019-02-17,17,2,2019,21.0,24.8,18.8,,16.6,6.6,Oeste,SP
2019-02-18,18,2,2019,21.8,26.6,18.1,,17.6,1.8,Norte,SP
2019-02-19,19,2,2019,22.6,26.5,19.0,,26.0,1.3,Noroeste,SP
2019-02-20,20,2,2019,22.5,27.2,19.3,,13.6,11.3,Noroeste,SP
2019-02-21,21,2,2019,21.2,26.0,18.3,,13.0,13.7,Leste,SP
2019-02-22,22,2,2019,22.0,27.6,18.6,,10.3,6.6,Nordeste,SP
2019-02-23,23,2,2019,23.5,29.4,18.6,,21.5,0.5,Noroeste,SP
2019-02-24,24,2,2019,24.8,29.6,20.5,,21.1,0.3,Noroeste,SP
2019-02-25,25,2,2019,24.8,28.6,21.5,,16.6,0.4,Noroeste,SP
2019-02-26,26,2,2019,21.8,26.7,19.4,,17.4,9.3,Noroeste,SP
2019-02-27,27,2,2019,21.4,24.4,19.5,,17.5,11.2,Noroeste,SP
2019-02-28,28,2,2019,20.5,22.4,19.2,,14.8,19.9,Noroeste,SP
2019-03-01,1,3,2019,20.2,22.4,18.4,,13.8,13.7,Sul,SP
2019-03-02,2,3,2019,21.2,25.6,18.1,,17.6,6.9,Norte,SP
2019-03-03,3,3,2019,20.9,25.9,18.0,,13.5,13.9,Leste,SP
2019-03-04,4,3,2019,20.9,25.3,17.7,,13.7,17.0,Nordeste,SP
2019-03-05,5,3,2019,21.7,26.6,17.5,,9.1,3.2,Nordeste,SP
2019-03-06,6,3,2019,22.6,29.2,18.0,,12.0,3.4,Nordeste,SP
2019-03-07,7,3,2019,23.1,28.4,19.2,,15.6,5.8,Norte,SP
2019-03-08,8,3,2019,23.4,28.6,18.9,,15.8,0.0,Noroeste,SP
2019-03-09,9,3,2019,24.4,29.3,19.7,,7.0,2.1,Nordeste,SP
2019-03-10,10,3,2019,21.9,25.4,19.7,,24.0,10.3,Sul,SP
2019-03-11,11,3,2019,20.6,23.6,19.4,,20.6,8.2,Sudeste,SP
2019-03-12,12,3,2019,21.5,27.7,18.0,,12.5,4.9,Leste,SP
2019-03-13,13,3,2019,22.6,27.7,19.2,,19.4,4.8,Noroeste,SP
2019-03-14,14,3,2019,23.0,26.2,20.2,,17.9,3.8,Noroeste,SP
2019-03-15,15,3,2019,21.7,25.0,19.6,,13.5,4.1,Oeste,SP
2019-03-16,16,3,2019,21.9,26.0,19.8,,18.9,5.3,Sudeste,SP
2019-03-17,17,3,2019,22.1,26.6,19.7,,13.6,14.8,Leste,SP
2019-03-18,18,3,2019,23.0,28.1,19.9,,19.1,2.6,Noroeste,SP
2019-03-19,19,3,2019,23.4,27.8,20.5,,20.9,5.2,Oeste,SP
2019-03-20,20,3,2019,20.9,24.6,17.9,,18.3,4.7,Sudeste,SP
2019-03-21,21,3,2019,18.4,19.6,17.1,,21.9,10.4,Sudeste,SP
2019-03-22,22,3,2019,18.0,20.9,15.5,,21.2,0.9,Leste,SP
2019-03-23,23,3,2019,19.2,24.9,15.3,,17.3,0.4,Leste,SP
2019-03-24,24,3,2019,20.1,25.6,16.4,,14.8,0.6,Sudeste,SP
2019-03-25,25,3,2019,21.5,28.1,16.9,,14.3,0.0,Leste,SP
2019-03-26,26,3,2019,21.0,27.5,16.2,,20.1,0.3,Sudeste,SP
2019-03-27,27,3,2019,20.5,25.8,17.0,,17.3,1.7,Sudeste,SP
