Data,Temperatura_maxima,Temperatura_minima,Temperatura_media,Probabilidade_chuva_max,Chuva_total,Velocidade_vento_max,Direcao_vento,ano,mes,dia,estado
2023-06-01,20.0,14.1,16.2,,1.1,11.4,196,2023,6,1,SP
2023-06-02,20.0,13.3,15.5,,0.0,13.0,98,2023,6,2,SP
2023-06-03,22.6,12.8,16.3,,0.0,13.8,78,2023,6,3,SP
2023-06-04,22.6,8.0,15.5,,0.0,10.7,319,2023,6,4,SP
2023-06-05,21.5,11.5,15.7,,0.0,14.7,202,2023,6,5,SP
2023-06-06,20.3,11.2,14.7,,0.0,11.8,109,2023,6,6,SP
2023-06-07,22.4,10.9,15.3,,0.0,11.2,5,2023,6,7,SP
2023-06-08,22.5,9.5,15.3,,0.0,7.1,18,2023,6,8,SP
2023-06-09,23.6,9.4,16.0,,0.0,17.7,340,2023,6,9,SP
2023-06-10,23.9,11.8,17.2,,0.0,20.4,322,2023,6,10,SP
2023-06-11,25.4,14.4,18.7,,0.0,26.6,324,2023,6,11,SP
2023-06-12,26.0,13.0,18.2,,0.0,21.2,292,2023,6,12,SP
2023-06-13,16.9,15.3,16.0,,1.2,20.5,178,2023,6,13,SP
2023-06-14,17.7,14.9,15.7,,13.9,14.6,176,2023,6,14,SP
2023-06-15,17.0,13.9,15.6,,12.8,17.3,334,2023,6,15,SP
2023-06-16,15.9,12.0,13.9,,0.0,25.0,314,2023,6,16,SP
2023-06-17,17.0,7.5,11.6,,0.1,14.9,290,2023,6,17,SP
2023-06-18,17.5,9.4,12.3,,0.0,14.0,113,2023,6,18,SP
2023-06-19,18.1,10.0,13.0,,0.0,16.0,107,2023,6,19,SP
2023-06-20,20.6,11.1,14.6,,0.0,15.9,81,2023,6,20,SP
2023-06-21,22.1,8.5,14.9,,0.0,13.0,48,2023,6,21,SP
2023-06-22,22.9,10.4,15.7,,0.0,15.6,355,2023,6,22,SP
2023-06-23,23.5,10.4,16.2,,0.0,15.8,329,2023,6,23,SP
2023-06-24,23.8,12.5,17.3,,0.0,13.2,328,2023,6,24,SP
2023-06-25,24.4,11.5,17.1,,0.0,11.2,311,2023,6,25,SP
2023-06-26,24.8,10.5,17.2,,0.0,11.6,45,2023,6,26,SP
2023-06-27,23.5,10.8,16.8,,0.0,19.4,331,2023,6,27,SP
2023-06-28,24.3,11.6,17.2,,0.0,22.6,324,2023,6,28,SP
2023-06-29,21.1,12.0,16.1,,0.2,19.2,149,2023,6,29,SP
2023-06-30,21.3,14.4,16.4,,0.0,15.3,112,2023,6,30,SP
2023-07-01,22.5,13.6,16.5,,0.8,17.1,171,2023,7,1,SP
2023-07-02,20.3,12.8,15.4,,0.0,16.6,173,2023,7,2,SP
2023-07-03,19.1,11.6,14.4,,0.1,18.0,118,2023,7,3,SP
2023-07-04,20.0,7.8,12.8,,0.0,16.6,82,2023,7,4,SP
2023-07-05,22.3,7.0,13.9,,0.0,14.3,25,2023,7,5,SP
2023-07-06,22.3,7.6,14.8,,0.0,13.8,354,2023,7,6,SP
2023-07-07,23.2,9.5,16.1,,0.0,16.0,332,2023,7,7,SP
2023-07-08,25.0,9.8,17.2,,0.0,29.3,325,2023,7,8,SP
2023-07-09,19.3,14.1,16.8,,13.9,17.1,307,2023,7,9,SP
2023-07-10,23.4,13.4,17.1,,0.4,16.6,17,2023,7,10,SP
2023-07-11,25.9,13.7,19.1,,0.0,16.8,335,2023,7,11,SP
2023-07-12,26.8,14.7,19.5,,0.0,27.2,10,2023,7,12,SP
2023-07-13,23.2,16.4,20.5,,0.0,43.1,314,2023,7,13,SP
2023-07-14,17.3,8.8,13.3,,0.0,21.3,225,2023,7,14,SP
2023-07-15,18.4,9.1,12.6,,0.0,18.1,90,2023,7,15,SP
2023-07-16,23.7,9.3,14.7,,0.0,14.2,280,2023,7,16,SP
2023-07-17,23.6,12.3,16.7,,0.0,15.4,140,2023,7,17,SP
2023-07-18,18.2,14.0,15.4,,0.7,20.1,156,2023,7,18,SP
2023-07-19,17.1,13.7,14.9,,2.7,21.1,142,2023,7,19,SP
2023-07-20,21.4,13.3,15.7,,0.0,25.8,101,2023,7,20,SP
2023-07-21,22.5,12.9,16.2,,0.0,18.8,87,2023,7,21,SP
2023-07-22,22.3,12.5,16.4,,0.0,14.0,79,2023,7,22,SP
2023-07-23,24.8,10.1,17.0,,0.0,9.7,28,2023,7,23,SP
2023-07-24,25.2,12.8,18.5,,0.0,12.1,52,2023,7,24,SP
2023-07-25,25.4,13.0,18.8,,0.0,11.2,47,2023,7,25,SP
2023-07-26,26.5,12.4,19.2,,0.0,16.5,354,2023,7,26,SP
2023-07-27,24.9,12.7,17.7,,0.2,19.2,137,2023,7,27,SP
2023-07-28,26.9,14.9,19.4,,1.1,21.7,360,2023,7,28,SP
2023-07-29,17.1,13.1,15.2,,0.3,21.2,157,2023,7,29,SP
2023-07-30,19.9,12.5,14.6,,0.0,16.6,116,2023,7,30,SP
2023-07-31,23.9,12.4,16.4,,0.0,12.3,80,2023,7,31,SP
2023-08-01,23.1,14.2,17.1,,0.0,14.9,107,2023,8,1,SP
2023-08-02,27.3,12.9,18.7,,0.0,8.4,11,2023,8,2,SP
2023-08-03,27.1,12.0,18.7,,0.0,19.2,301,2023,8,3,SP
2023-08-04,23.6,10.0,16.4,,0.0,10.7,145,2023,8,4,SP
